system:time_start,undefined
"Feb 18, 2000","3,760.874"
"Mar 5, 2000","3,536.409"
"Mar 21, 2000","3,536.523"
"Apr 6, 2000","3,182.638"
"Apr 22, 2000","2,653.074"
"May 8, 2000","4,786.411"
"May 24, 2000","5,162.769"
"Jun 9, 2000","4,571.151"
"Jun 25, 2000","4,504.838"
"Jul 11, 2000","5,528.297"
"Jul 27, 2000",
"Aug 12, 2000",
"Aug 28, 2000","6,958.593"
"Sep 13, 2000","6,991.849"
"Sep 29, 2000","7,383.328"
"Oct 15, 2000",
"Oct 31, 2000","7,111.973"
"Nov 16, 2000","6,524.3"
"Dec 2, 2000","6,357.808"
"Dec 18, 2000","5,605.289"
"Jan 1, 2001","5,709.638"
"Jan 17, 2001","4,876.105"
"Feb 2, 2001","4,541.779"
"Feb 18, 2001","4,592.243"
"Mar 6, 2001","2,709"
"Mar 22, 2001","5,156.83"
"Apr 7, 2001","5,995.968"
"Apr 23, 2001","6,322.217"
"May 9, 2001","6,446.113"
"May 25, 2001","6,589.4"
"Jun 10, 2001","6,734.635"
"Jun 26, 2001","5,888.1"
"Jul 12, 2001","6,534.232"
"Jul 28, 2001","6,558.622"
"Aug 13, 2001","6,917.892"
"Aug 29, 2001","6,996.642"
"Sep 14, 2001","7,046.721"
"Sep 30, 2001","6,818.17"
"Oct 16, 2001","6,458.014"
"Nov 1, 2001","6,336.794"
"Nov 17, 2001","5,741.989"
"Dec 3, 2001","5,148.415"
"Dec 19, 2001","4,729.311"
"Jan 1, 2002",
"Jan 17, 2002","4,345.209"
"Feb 2, 2002","4,170.369"
"Feb 18, 2002","4,097.61"
"Mar 6, 2002","4,012.965"
"Mar 22, 2002","4,267.151"
"Apr 7, 2002","4,450"
"Apr 23, 2002","5,549.936"
"May 9, 2002","5,523.154"
"May 25, 2002","5,473.472"
"Jun 10, 2002","4,851.793"
"Jun 26, 2002","4,227.769"
"Jul 12, 2002","5,506.353"
"Jul 28, 2002","6,256.913"
"Aug 13, 2002","5,986.591"
"Aug 29, 2002","6,981.286"
"Sep 14, 2002","6,922.581"
"Sep 30, 2002","7,195.568"
"Oct 16, 2002","6,913.115"
"Nov 1, 2002","6,365.851"
"Nov 17, 2002","5,424.152"
"Dec 3, 2002","5,386.96"
"Dec 19, 2002",
"Jan 1, 2003","5,235.205"
"Jan 17, 2003","5,138.906"
"Feb 2, 2003","4,850.029"
"Feb 18, 2003","4,754.541"
"Mar 6, 2003","4,325.917"
"Mar 22, 2003","4,432.354"
"Apr 7, 2003","5,399.519"
"Apr 23, 2003","5,895.828"
"May 9, 2003","5,593.331"
"May 25, 2003","5,544.582"
"Jun 10, 2003","5,331.555"
"Jun 26, 2003","5,358.516"
"Jul 12, 2003","5,866.147"
"Jul 28, 2003","6,554.557"
"Aug 13, 2003","6,788.963"
"Aug 29, 2003","6,849.415"
"Sep 14, 2003","6,211.188"
"Sep 30, 2003","6,735.494"
"Oct 16, 2003","6,557.093"
"Nov 1, 2003","5,514.696"
"Nov 17, 2003","6,261.252"
"Dec 3, 2003","5,523.477"
"Dec 19, 2003","5,267.368"
"Jan 1, 2004","4,773.4"
"Jan 17, 2004","3,872.34"
"Feb 2, 2004","4,506.722"
"Feb 18, 2004","4,035.617"
"Mar 5, 2004","3,821.362"
"Mar 21, 2004","3,804.452"
"Apr 6, 2004","5,816.285"
"Apr 22, 2004","5,562.425"
"May 8, 2004","5,601.49"
"May 24, 2004","4,997.459"
"Jun 9, 2004","4,449.77"
"Jun 25, 2004","5,131.842"
"Jul 11, 2004","6,108.472"
"Jul 27, 2004","6,925.29"
"Aug 12, 2004","6,817.654"
"Aug 28, 2004","7,276.092"
"Sep 13, 2004","6,699.932"
"Sep 29, 2004","7,354.882"
"Oct 15, 2004","6,974.412"
"Oct 31, 2004","6,309.349"
"Nov 16, 2004","5,923.231"
"Dec 2, 2004","5,328.887"
"Dec 18, 2004","5,470.069"
"Jan 1, 2005","5,331.303"
"Jan 17, 2005","5,199.343"
"Feb 2, 2005","4,966.766"
"Feb 18, 2005","4,531.422"
"Mar 6, 2005","3,997.9"
"Mar 22, 2005","4,701.176"
"Apr 7, 2005","4,529.059"
"Apr 23, 2005","4,194.782"
"May 9, 2005","6,658.053"
"May 25, 2005","6,523.694"
"Jun 10, 2005","6,027.557"
"Jun 26, 2005","5,166.436"
"Jul 12, 2005","6,095.111"
"Jul 28, 2005","6,493.593"
"Aug 13, 2005","7,217.663"
"Aug 29, 2005","7,412.884"
"Sep 14, 2005","6,547.827"
"Sep 30, 2005","6,547.072"
"Oct 16, 2005","6,575.166"
"Nov 1, 2005","6,261.286"
"Nov 17, 2005","5,663.228"
"Dec 3, 2005","5,076.638"
"Dec 19, 2005","4,299.205"
"Jan 1, 2006","4,299.205"
"Jan 17, 2006","3,981.712"
"Feb 2, 2006","4,209.469"
"Feb 18, 2006","3,787.596"
"Mar 6, 2006","4,374.378"
"Mar 22, 2006","3,003.195"
"Apr 7, 2006","5,731.772"
"Apr 23, 2006","6,309.188"
"May 9, 2006","6,095.586"
"May 25, 2006","6,169.885"
"Jun 10, 2006","5,481.292"
"Jun 26, 2006","5,539.148"
"Jul 12, 2006","6,605.82"
"Jul 28, 2006","6,587.617"
"Aug 13, 2006","6,536.429"
"Aug 29, 2006","5,690.258"
"Sep 14, 2006","6,227"
"Sep 30, 2006","6,775.455"
"Oct 16, 2006","6,597.108"
"Nov 1, 2006","6,718.849"
"Nov 17, 2006","6,111.385"
"Dec 3, 2006","6,024.022"
"Dec 19, 2006","5,577.703"
"Jan 1, 2007","5,577.703"
"Jan 17, 2007","4,837.268"
"Feb 2, 2007","4,978.584"
"Feb 18, 2007","4,946.588"
"Mar 6, 2007","4,622.736"
"Mar 22, 2007","4,049.015"
"Apr 7, 2007","5,652.187"
"Apr 23, 2007","5,981.343"
"May 9, 2007","5,822.241"
"May 25, 2007","5,548.508"
"Jun 10, 2007","5,048.931"
"Jun 26, 2007","4,188.645"
"Jul 12, 2007","6,251.956"
"Jul 28, 2007","6,609.378"
"Aug 13, 2007","6,434.976"
"Aug 29, 2007","6,611.541"
"Sep 14, 2007","7,280.7"
"Sep 30, 2007","7,311.752"
"Oct 16, 2007","6,501.622"
"Nov 1, 2007","6,751.654"
"Nov 17, 2007","5,617.277"
"Dec 3, 2007","5,236.315"
"Dec 19, 2007",
"Jan 1, 2008","4,476.144"
"Jan 17, 2008","4,579.978"
"Feb 2, 2008","4,387.462"
"Feb 18, 2008","4,364.903"
"Mar 5, 2008","3,445.38"
"Mar 21, 2008","3,264.019"
"Apr 6, 2008","3,572.487"
"Apr 22, 2008","3,733.856"
"May 8, 2008","4,363.436"
"May 24, 2008","4,404.332"
"Jun 9, 2008","4,589.048"
"Jun 25, 2008","4,587.887"
"Jul 11, 2008","5,743.448"
"Jul 27, 2008","5,605.239"
"Aug 12, 2008","6,732.142"
"Aug 28, 2008","6,697.91"
"Sep 13, 2008","6,009.046"
"Sep 29, 2008","7,436.05"
"Oct 15, 2008","6,701.394"
"Oct 31, 2008","6,956.768"
"Nov 16, 2008","6,156.942"
"Dec 2, 2008","5,794.243"
"Dec 18, 2008","4,972.859"
"Jan 1, 2009","4,965.629"
"Jan 17, 2009","4,786.217"
"Feb 2, 2009","4,764.888"
"Feb 18, 2009","4,363.573"
"Mar 6, 2009","4,316.315"
"Mar 22, 2009","4,520.174"
"Apr 7, 2009","5,239.373"
"Apr 23, 2009","4,236.578"
"May 9, 2009","4,664.172"
"May 25, 2009","4,868.119"
"Jun 10, 2009","4,883.418"
"Jun 26, 2009","5,097.289"
"Jul 12, 2009","5,694.196"
"Jul 28, 2009","6,712.78"
"Aug 13, 2009","7,204.855"
"Aug 29, 2009","6,686.837"
"Sep 14, 2009","7,108.429"
"Sep 30, 2009","7,047.001"
"Oct 16, 2009","7,131.455"
"Nov 1, 2009","6,466.257"
"Nov 17, 2009","5,939.438"
"Dec 3, 2009","5,890.993"
"Dec 19, 2009","4,868"
"Jan 1, 2010","6,103.284"
"Jan 17, 2010","5,917.199"
"Feb 2, 2010","5,499.965"
"Feb 18, 2010","5,574.053"
"Mar 6, 2010","5,748.721"
"Mar 22, 2010","5,375.089"
"Apr 7, 2010","6,510.101"
"Apr 23, 2010","5,757.856"
"May 9, 2010","7,047.134"
"May 25, 2010","6,308.837"
"Jun 10, 2010","5,907.846"
"Jun 26, 2010","5,968.835"
"Jul 12, 2010",
"Jul 28, 2010","6,145.775"
"Aug 13, 2010","6,401.694"
"Aug 29, 2010","6,176.001"
"Sep 14, 2010","5,586.5"
"Sep 30, 2010","6,370.08"
"Oct 16, 2010","6,518.884"
"Nov 1, 2010","5,528.04"
"Nov 17, 2010","5,419.788"
"Dec 3, 2010","4,941.835"
"Dec 19, 2010","4,563.512"
"Jan 1, 2011","4,357.302"
"Jan 17, 2011","3,908.649"
"Feb 2, 2011","3,981.422"
"Feb 18, 2011","3,809.477"
"Mar 6, 2011","3,799.548"
"Mar 22, 2011","3,649.665"
"Apr 7, 2011","4,010.982"
"Apr 23, 2011","5,423.303"
